City_ID,City,Country,Max Temp,Current Descrption,Lat,Lng,Hotel Name
3,New Norfolk,AU,51.93,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
11,Katsuura,JP,57.31,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
12,Punta Arenas,CL,51.91,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
13,Ushuaia,AR,49.66,clear sky,-54.8,-68.3,Albatros Hotel
16,Bluff,NZ,52.88,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
18,Lebu,CL,55.24,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
20,Nikolskoye,RU,45.88,broken clouds,59.7035,30.7861,Tourist House - Sablino
27,Mataura,NZ,47.8,few clouds,-46.1927,168.8643,Ellie's Villa
30,Tornio,FI,42.82,overcast clouds,65.8481,24.1466,Park Hotel Tornio
32,Jamestown,US,52.95,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
33,Seoul,KR,51.24,clear sky,37.5683,126.9778,Lotte Hotel Seoul
39,Muhlhausen,DE,53.64,overcast clouds,51.2167,10.45,Brauhaus zum Löwen
42,Kantemirovka,RU,45.72,few clouds,49.7089,39.8592,Premier Hotel
44,Busselton,AU,46.04,broken clouds,-33.65,115.3333,Observatory Guest House
52,Vestmannaeyjar,IS,45.59,clear sky,63.4427,-20.2734,Glamping & Camping
59,Asau,RO,48.76,clear sky,46.4333,26.4,Casa Mika Ciobanus
64,Torbay,CA,52.75,few clouds,47.6666,-52.7314,Gallows Cove
69,Saint-Michel-Des-Saints,CA,44.94,overcast clouds,46.6834,-73.9159,Motel Du Mont trinity
73,Demyansk,RU,49.82,scattered clouds,57.643,32.466,Demyanskaya Gostinitsa
74,Mount Gambier,AU,41.74,clear sky,-37.8333,140.7667,The Commodore
78,Kozmodemyansk,RU,47.23,overcast clouds,56.3367,46.5711,"Lada, Gostinitsa"
81,Moose Factory,CA,44.6,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
107,Ancud,CL,58.53,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
109,Hobart,AU,52.27,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
111,Lompoc,US,59.92,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
117,Shu,KZ,47.91,broken clouds,43.5983,73.7614,Shyngyzkhan
119,Geraldton,AU,55.13,clear sky,-28.7667,114.6,Broadwater Mariner Resort
129,Zharkent,KZ,44.89,overcast clouds,44.1628,80.0,гостиница Satti
133,Damghan,IR,57.18,broken clouds,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
138,Havre-Saint-Pierre,CA,55.99,clear sky,50.2334,-63.5986,Auberge Niapiskau
142,Marienburg,PL,53.89,scattered clouds,54.0359,19.0266,Hotel Centrum Malbork
149,Kochubey,RU,48.78,clear sky,44.3861,46.5825,Europa
151,Bonavista,CA,51.8,few clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
160,Virtsu,EE,47.98,overcast clouds,58.5716,23.5115,Pivarootsi Holiday Village
165,Yebaishou,CN,45.34,overcast clouds,41.3975,119.6408,Siji Home
167,Hami,CN,52.2,overcast clouds,42.8,93.45,Laoyutang Resort
173,Grottammare,IT,58.8,clear sky,42.9888,13.8649,Hotel La Perla Preziosa
177,Randolph,US,59.4,overcast clouds,35.7001,-79.8164,Hampton Inn Asheboro
181,Bashtanka,UA,49.68,clear sky,47.4072,32.4387,Свято Успенський храм ПЦУ
188,Sistranda,NO,52.9,broken clouds,63.7256,8.834,Hotell Frøya
191,Klaksvik,FO,47.32,overcast clouds,62.2266,-6.589,Airbnb rooms
204,Coihaique,CL,57.81,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
205,Stokmarknes,NO,45.5,light rain,68.5646,14.9108,Vesterålen Kysthotell
208,Korla,CN,54.43,overcast clouds,41.7597,86.1469,Gulisitan Hotel
211,Dongkan,CN,58.03,light rain,33.9997,119.8308,Triumphal Resort
213,Rio Gallegos,AR,59.05,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
220,Sitka,US,46.29,broken clouds,57.0531,-135.33,Westmark Sitka
