City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descrption
0,Port Alfred,ZA,-33.5906,26.891,65.19,87,6,12.62,clear sky
1,San Quintin,MX,30.4833,-115.95,68.13,73,0,6.13,clear sky
2,Kloulklubed,PW,7.0419,134.2556,79.3,79,100,14.0,light rain
3,New Norfolk,AU,-42.7826,147.0587,51.93,61,66,3.0,broken clouds
4,Chuy,UY,-33.6971,-53.4616,72.32,72,99,13.04,overcast clouds
5,Ostrovnoy,RU,68.0531,39.5131,31.91,84,97,10.22,overcast clouds
6,Hilo,US,19.7297,-155.09,82.27,68,1,5.75,clear sky
7,Chokurdakh,RU,70.6333,147.9167,-5.58,98,99,6.17,overcast clouds
8,Charters Towers,AU,-20.1,146.2667,72.05,82,3,7.29,clear sky
9,Vaini,TO,-21.2,-175.2,71.76,94,20,3.44,few clouds
10,Bethel,US,41.3712,-73.414,63.01,93,90,8.05,overcast clouds
11,Katsuura,JP,35.1333,140.3,57.31,60,43,4.36,scattered clouds
12,Punta Arenas,CL,-53.15,-70.9167,51.91,43,0,18.41,clear sky
13,Ushuaia,AR,-54.8,-68.3,49.66,53,0,13.8,clear sky
14,Rikitea,PF,-23.1203,-134.9692,74.89,84,73,20.69,light rain
15,Quatre Cocos,MU,-20.2078,57.7625,73.51,76,46,2.13,scattered clouds
16,Bluff,NZ,-46.6,168.3333,52.88,64,19,18.88,few clouds
17,Bani,DO,18.2833,-70.3333,87.24,57,6,8.48,clear sky
18,Lebu,CL,-37.6167,-73.65,55.24,68,91,19.22,overcast clouds
19,Vidim,RU,56.4088,103.1106,32.79,76,100,6.42,overcast clouds
20,Nikolskoye,RU,59.7035,30.7861,45.88,92,74,6.91,broken clouds
21,Manzanillo,CU,20.3433,-77.1167,89.65,53,73,9.22,broken clouds
22,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,40,4.61,scattered clouds
23,Cape Town,ZA,-33.9258,18.4232,67.12,68,0,4.0,clear sky
24,Puerto Ayora,EC,-0.7393,-90.3518,78.76,80,78,9.26,broken clouds
25,Yellowknife,CA,62.456,-114.3525,28.42,93,40,7.0,scattered clouds
26,Madingou,CG,-4.1536,13.55,82.83,65,86,2.91,overcast clouds
27,Mataura,NZ,-46.1927,168.8643,47.8,67,12,5.73,few clouds
28,Cherskiy,RU,68.75,161.3,-4.05,99,100,4.85,overcast clouds
29,Cidreira,BR,-30.1811,-50.2056,71.65,77,68,21.85,broken clouds
30,Tornio,FI,65.8481,24.1466,42.82,97,100,13.15,overcast clouds
31,Greeley,US,40.4233,-104.7091,73.65,32,1,4.0,clear sky
32,Jamestown,US,42.097,-79.2353,52.95,95,90,1.99,overcast clouds
33,Seoul,KR,37.5683,126.9778,51.24,93,0,2.3,clear sky
34,Salalah,OM,17.0151,54.0924,82.49,74,0,8.05,clear sky
35,Haifa,IL,32.8156,34.9892,74.34,69,0,4.61,clear sky
36,Fortuna,US,40.5982,-124.1573,61.14,76,90,1.01,overcast clouds
37,Mar Del Plata,AR,-38.0023,-57.5575,84.22,92,40,18.99,scattered clouds
38,Hithadhoo,MV,-0.6,73.0833,82.76,76,57,15.75,broken clouds
39,Muhlhausen,DE,51.2167,10.45,53.64,69,100,5.12,overcast clouds
40,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,73,90,8.05,overcast clouds
41,Kavieng,PG,-2.5744,150.7967,82.96,75,50,13.18,scattered clouds
42,Kantemirovka,RU,49.7089,39.8592,45.72,66,19,3.15,few clouds
43,Boralday,KZ,43.3578,76.8594,39.06,93,40,2.24,mist
44,Busselton,AU,-33.65,115.3333,46.04,90,55,7.4,broken clouds
45,Bredasdorp,ZA,-34.5322,20.0403,64.27,79,37,7.49,scattered clouds
46,Atuona,PF,-9.8,-139.0333,77.43,69,16,17.05,few clouds
47,East London,ZA,-33.0153,27.9116,63.54,88,0,12.66,clear sky
48,Salinas,US,36.6777,-121.6555,65.05,85,90,3.44,mist
49,Zyryanka,RU,65.75,150.85,2.5,95,100,8.41,overcast clouds
50,Kapaa,US,22.0752,-159.319,71.58,98,1,8.05,clear sky
51,Butaritari,KI,3.0707,172.7902,81.1,78,95,8.7,light rain
52,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,76,0,2.3,clear sky
53,Saint George,US,37.1041,-113.5841,73.54,47,1,0.0,clear sky
54,Russell,US,32.3502,-85.1999,61.12,70,90,10.36,overcast clouds
55,Kungurtug,RU,50.5994,97.5228,28.31,67,38,2.77,scattered clouds
56,Banjar,ID,-8.19,114.9675,78.66,89,100,2.17,overcast clouds
57,Bandarbeyla,SO,9.4942,50.8122,79.57,77,17,13.27,few clouds
58,Acarau,BR,-2.8856,-40.12,86.02,60,63,15.05,broken clouds
59,Asau,RO,46.4333,26.4,48.76,89,1,1.41,clear sky
60,Kununurra,AU,-15.7667,128.7333,82.38,74,78,0.0,broken clouds
61,Chihuahua,MX,28.5,-106.0,70.27,26,0,2.17,clear sky
62,Albany,US,42.6001,-73.9662,57.78,91,99,1.01,overcast clouds
63,Touros,BR,-5.1989,-35.4608,88.7,60,70,16.46,broken clouds
64,Torbay,CA,47.6666,-52.7314,52.75,51,20,9.22,few clouds
65,Kampong Thum,KH,12.7111,104.8887,76.1,93,80,4.68,broken clouds
66,Nioro,GM,13.35,-15.75,76.42,80,100,9.75,overcast clouds
67,Saskylakh,RU,71.9167,114.0833,8.04,92,100,10.45,overcast clouds
68,Isangel,VU,-19.55,169.2667,74.23,84,2,5.88,clear sky
