City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Camacupa,AO,2021-10-19 22:47:42,-12.0167,17.4833,65.8,84,100,1.81
1,Hermanus,ZA,2021-10-19 22:47:43,-34.4187,19.2345,61.9,89,3,12.3
2,Rikitea,PF,2021-10-19 22:47:05,-23.1203,-134.9692,75.0,76,0,20.78
3,Chico,US,2021-10-19 22:43:39,39.7285,-121.8375,67.57,41,75,1.01
4,Moroto,UG,2021-10-19 22:47:43,2.5345,34.6666,70.18,65,69,3.49
5,Palasa,IN,2021-10-19 22:47:44,18.7667,84.4167,78.22,89,95,3.06
6,Bulgan,MN,2021-10-19 22:47:44,48.8125,103.5347,30.87,58,0,2.75
7,Torbay,CA,2021-10-19 22:47:44,47.6666,-52.7314,50.77,87,75,4.61
8,Maniitsoq,GL,2021-10-19 22:47:45,65.4167,-52.9,35.55,46,24,8.99
9,Provideniya,RU,2021-10-19 22:47:45,64.3833,-173.3,33.91,69,75,11.18
10,Bluff,NZ,2021-10-19 22:47:46,-46.6,168.3333,50.13,55,80,5.41
11,San Cristobal,VE,2021-10-19 22:47:46,7.7669,-72.225,78.98,88,43,2.89
12,Llanes,ES,2021-10-19 22:47:46,43.4198,-4.7549,76.26,71,57,7.05
13,Nikolskoye,RU,2021-10-19 22:47:47,59.7035,30.7861,32.88,78,98,3.8
14,Ushuaia,AR,2021-10-19 22:47:47,-54.8,-68.3,58.66,47,75,11.5
15,Raudeberg,NO,2021-10-19 22:47:47,61.9875,5.1352,50.86,94,100,3.0
16,Qaanaaq,GL,2021-10-19 22:47:48,77.484,-69.3632,24.93,92,99,7.38
17,Mataura,NZ,2021-10-19 22:47:48,-46.1927,168.8643,52.54,50,80,3.83
18,Redcliffe,AU,2021-10-19 22:47:49,-27.2307,153.0973,78.15,67,20,6.91
19,Kaitangata,NZ,2021-10-19 22:47:49,-46.2817,169.8464,52.93,50,39,6.96
20,Bethel,US,2021-10-19 22:47:49,41.3712,-73.414,63.18,60,1,9.22
21,Pitiquito,MX,2021-10-19 22:47:50,30.7,-112.0833,83.19,30,0,10.96
22,Port Alfred,ZA,2021-10-19 22:47:50,-33.5906,26.891,59.09,75,3,15.77
23,Bredasdorp,ZA,2021-10-19 22:47:50,-34.5322,20.0403,58.28,94,8,6.82
24,Richards Bay,ZA,2021-10-19 22:47:51,-28.783,32.0377,58.15,77,43,4.7
25,Solnechnyy,RU,2021-10-19 22:47:51,50.7214,136.6319,25.81,62,62,0.6
26,Lerwick,GB,2021-10-19 22:47:52,60.1545,-1.1494,51.8,97,100,14.43
27,Punta Arenas,CL,2021-10-19 22:43:40,-53.15,-70.9167,59.11,58,75,14.97
28,Faanui,PF,2021-10-19 22:47:52,-16.4833,-151.75,80.38,74,81,12.35
29,Yellowknife,CA,2021-10-19 22:47:53,62.456,-114.3525,41.56,68,75,16.11
30,Nabire,ID,2021-10-19 22:47:53,-3.3667,135.4833,78.46,80,100,2.06
31,Dargaville,NZ,2021-10-19 22:47:53,-35.9333,173.8833,65.52,55,97,4.9
32,Butaritari,KI,2021-10-19 22:47:54,3.0707,172.7902,82.6,63,0,6.91
33,Buckeye,US,2021-10-19 22:43:52,33.3703,-112.5838,82.29,32,0,0.0
34,Busselton,AU,2021-10-19 22:47:54,-33.65,115.3333,55.04,75,100,18.03
35,Vostok,RU,2021-10-19 22:47:55,46.4856,135.8833,22.12,54,12,1.03
36,Albany,US,2021-10-19 22:45:15,42.6001,-73.9662,61.45,55,13,13.04
37,Port Elizabeth,ZA,2021-10-19 22:47:55,-33.918,25.5701,61.09,77,0,9.22
38,Tasiilaq,GL,2021-10-19 22:47:56,65.6145,-37.6368,28.56,51,1,6.06
39,Puerto Ayora,EC,2021-10-19 22:47:56,-0.7393,-90.3518,78.76,83,63,13.18
40,Bathsheba,BB,2021-10-19 22:47:56,13.2167,-59.5167,83.01,69,20,13.8
41,East London,ZA,2021-10-19 22:47:57,-33.0153,27.9116,57.61,74,0,9.6
42,Gat,IL,2021-10-19 22:47:57,31.61,34.7642,69.4,100,54,4.9
43,Laela,TZ,2021-10-19 22:47:57,-8.5667,32.05,64.94,60,11,2.04
44,Labuhan,ID,2021-10-19 22:47:58,-6.8844,112.2051,79.52,80,100,8.84
45,Langxiang,CN,2021-10-19 22:47:58,46.95,128.8833,29.23,60,80,1.83
46,Cape Town,ZA,2021-10-19 22:47:59,-33.9258,18.4232,62.11,68,0,6.91
47,Broome,US,2021-10-19 22:47:59,42.2506,-75.833,59.83,52,0,1.01
48,Masterton,NZ,2021-10-19 22:47:59,-40.9597,175.6575,57.88,83,100,3.58
49,Arraial Do Cabo,BR,2021-10-19 22:48:00,-22.9661,-42.0278,64.36,100,90,6.91
50,Ostrovnoy,RU,2021-10-19 22:48:00,68.0531,39.5131,34.34,63,100,17.25
51,Komsomolskiy,UZ,2021-10-19 22:48:01,40.4272,71.7189,53.02,50,96,4.61
52,Jamestown,US,2021-10-19 22:45:33,42.097,-79.2353,65.52,51,1,9.22
53,Kapaa,US,2021-10-19 22:48:01,22.0752,-159.319,82.38,68,20,5.99
54,Mount Gambier,AU,2021-10-19 22:48:02,-37.8333,140.7667,51.71,82,100,11.5
55,Katsuura,JP,2021-10-19 22:48:02,35.1333,140.3,60.19,85,2,10.27
56,Ponta Do Sol,PT,2021-10-19 22:48:03,32.6667,-17.1,77.0,72,99,1.77
57,Hami,CN,2021-10-19 22:47:46,42.8,93.45,50.88,24,7,10.0
58,Beira,MZ,2021-10-19 22:48:04,-19.8436,34.8389,66.29,82,75,12.66
59,Tuktoyaktuk,CA,2021-10-19 22:48:04,69.4541,-133.0374,17.6,100,20,12.66
60,Lorengau,PG,2021-10-19 22:48:04,-2.0226,147.2712,85.41,65,74,7.99
61,Barrow,US,2021-10-19 22:48:05,71.2906,-156.7887,23.02,74,75,23.02
62,Bambous Virieux,MU,2021-10-19 22:48:05,-20.3428,57.7575,73.65,83,75,5.75
63,Mitsamiouli,KM,2021-10-19 22:48:06,-11.3847,43.2844,76.68,76,82,5.5
64,Hirara,JP,2021-10-19 22:48:06,24.8,125.2833,76.86,73,75,10.36
65,Mahebourg,MU,2021-10-19 22:48:06,-20.4081,57.7,73.69,83,75,5.75
66,Hobart,AU,2021-10-19 22:45:02,-42.8794,147.3294,55.26,70,20,1.99
67,Cidreira,BR,2021-10-19 22:48:07,-30.1811,-50.2056,61.79,69,2,10.69
68,Atuona,PF,2021-10-19 22:43:29,-9.8,-139.0333,78.49,75,2,18.59
69,Rostovka,RU,2021-10-19 22:48:08,55.3842,71.8891,41.4,77,74,8.41
70,Namibe,AO,2021-10-19 22:48:08,-15.1961,12.1522,64.98,90,45,4.74
71,Lagunillas,VE,2021-10-19 22:48:08,10.1301,-71.2595,81.34,80,22,1.74
72,Hay River,CA,2021-10-19 22:48:09,60.8156,-115.7999,46.36,49,75,10.36
73,Aklavik,CA,2021-10-19 22:48:09,68.2191,-135.0107,20.23,86,72,10.76
74,Hilo,US,2021-10-19 22:48:09,19.7297,-155.09,82.13,70,40,10.36
75,Avarua,CK,2021-10-19 22:48:10,-21.2078,-159.775,77.05,61,94,5.75
76,Necochea,AR,2021-10-19 22:48:10,-38.5473,-58.7368,59.07,73,8,8.81
77,Oromocto,CA,2021-10-19 22:48:11,45.8351,-66.4792,48.34,75,90,5.75
78,Jizan,SA,2021-10-19 22:48:11,17.3333,42.6667,85.14,67,20,2.1
79,Pevek,RU,2021-10-19 22:48:11,69.7008,170.3133,16.18,92,100,15.14
80,Salaga,GH,2021-10-19 22:48:12,8.5508,-0.5188,75.92,89,41,4.61
81,Dikson,RU,2021-10-19 22:48:12,73.5069,80.5464,27.72,58,100,7.9
82,Ribeira Grande,PT,2021-10-19 22:48:13,38.5167,-28.7,69.46,68,16,10.18
83,Yerbogachen,RU,2021-10-19 22:48:13,61.2767,108.0108,33.13,97,100,11.25
84,Chokurdakh,RU,2021-10-19 22:48:13,70.6333,147.9167,-9.2,96,97,6.13
85,Karratha,AU,2021-10-19 22:48:14,-20.7377,116.8463,67.77,48,79,14.27
86,Taoudenni,ML,2021-10-19 22:48:14,22.6783,-3.9836,81.41,18,58,15.03
87,Upernavik,GL,2021-10-19 22:48:14,72.7868,-56.1549,34.21,79,100,24.72
88,Svarstad,NO,2021-10-19 22:48:15,59.399,9.9698,40.95,92,100,1.39
89,Eureka,US,2021-10-19 22:48:15,40.8021,-124.1637,64.63,42,100,8.99
90,Tuatapere,NZ,2021-10-19 22:48:15,-46.1333,167.6833,51.82,54,47,3.2
91,Paamiut,GL,2021-10-19 22:48:16,61.994,-49.6678,38.21,61,9,5.12
92,Nanortalik,GL,2021-10-19 22:48:16,60.1432,-45.2371,39.11,51,0,2.44
93,Mount Isa,AU,2021-10-19 22:48:17,-20.7333,139.5,89.37,14,12,16.11
94,Luderitz,NA,2021-10-19 22:48:17,-26.6481,15.1594,58.28,70,15,3.49
95,Poum,NC,2021-10-19 22:48:17,-20.2333,164.0167,76.05,81,100,5.93
96,Rosetta,EG,2021-10-19 22:48:18,31.4044,30.4164,69.62,64,29,13.06
97,Ancud,CL,2021-10-19 22:48:18,-41.8697,-73.8203,65.73,93,29,3.47
98,Berezovyy,RU,2021-10-19 22:48:19,51.6667,135.7,23.49,73,8,2.3
99,Safaga,EG,2021-10-19 22:48:19,26.7292,33.9365,77.65,45,11,21.34
100,Point Pedro,LK,2021-10-19 22:48:19,9.8167,80.2333,80.19,85,100,8.75
101,North Platte,US,2021-10-19 22:47:33,41.1239,-100.7654,73.29,45,1,8.05
102,Saskylakh,RU,2021-10-19 22:48:20,71.9167,114.0833,21.33,97,100,0.83
103,Castro,BR,2021-10-19 22:48:20,-24.7911,-50.0119,51.82,98,100,7.36
104,Mayo,US,2021-10-19 22:48:21,38.8876,-76.5119,69.91,64,0,1.99
105,Kodiak,US,2021-10-19 22:48:21,57.79,-152.4072,45.91,71,90,8.05
106,Usinsk,RU,2021-10-19 22:48:21,65.9939,57.5281,30.74,91,100,8.01
107,Cockburn Town,TC,2021-10-19 22:48:22,21.4612,-71.1419,82.18,76,91,13.33
108,Cabo San Lucas,MX,2021-10-19 22:48:13,22.8909,-109.9124,88.61,61,1,12.66
109,Victoria,HK,2021-10-19 22:45:03,22.2855,114.1577,79.32,83,99,4.0
110,Honiara,SB,2021-10-19 22:48:22,-9.4333,159.95,85.17,68,100,4.79
111,Laguna,US,2021-10-19 22:48:23,38.421,-121.4238,71.4,37,1,1.01
112,Tezu,IN,2021-10-19 22:48:23,27.9167,96.1667,71.4,99,100,3.09
113,Chingirlau,KZ,2021-10-19 22:48:23,51.095,54.0814,43.07,62,100,7.99
114,Asau,RO,2021-10-19 22:48:24,46.4333,26.4,44.96,80,51,5.55
115,Valdivia,CL,2021-10-19 22:48:15,-39.8142,-73.2459,77.09,86,7,2.68
116,Beringovskiy,RU,2021-10-19 22:48:24,63.05,179.3167,27.19,79,34,21.0
117,Rovaniemi,FI,2021-10-19 22:48:25,66.5,25.7167,24.21,86,0,6.91
118,Kruisfontein,ZA,2021-10-19 22:48:25,-34.0033,24.7314,57.88,89,0,6.44
119,Mehamn,NO,2021-10-19 22:48:26,71.0357,27.8492,29.77,72,98,3.29
120,Saint-Georges,GD,2021-10-19 22:48:26,12.0564,-61.7485,83.88,79,20,11.5
121,Sitka,US,2021-10-19 22:48:27,57.0531,-135.33,51.69,58,90,17.27
122,Saint-Philippe,RE,2021-10-19 22:48:27,-21.3585,55.7679,71.19,74,13,8.01
123,Ilo,PE,2021-10-19 22:48:27,-17.6394,-71.3375,62.98,81,38,5.03
124,Donskoye,RU,2021-10-19 22:48:28,45.4552,41.9741,42.93,85,18,11.72
125,Esperance,AU,2021-10-19 22:48:28,-33.8667,121.9,60.64,71,81,32.77
126,Aksu,CN,2021-10-19 22:48:28,41.1231,80.2644,50.05,26,24,2.75
127,Gunjur,GM,2021-10-19 22:48:29,13.2019,-16.7339,80.67,89,0,5.75
128,Ormara,PK,2021-10-19 22:48:29,25.2088,64.6357,78.85,63,0,5.12
129,Cayenne,GF,2021-10-19 22:48:29,4.9333,-52.3333,83.08,78,20,3.0
130,Khatanga,RU,2021-10-19 22:48:30,71.9667,102.5,25.57,94,100,16.46
131,Vaini,TO,2021-10-19 22:48:30,-21.2,-175.2,80.76,74,75,10.36
132,Matagami,CA,2021-10-19 22:47:34,49.7502,-77.6328,50.11,71,1,2.3
133,Hithadhoo,MV,2021-10-19 22:48:31,-0.6,73.0833,82.98,73,77,14.05
134,Waingapu,ID,2021-10-19 22:48:31,-9.6567,120.2641,82.2,74,88,5.77
135,Sur,OM,2021-10-19 22:45:16,22.5667,59.5289,81.7,50,80,9.31
136,Forli,IT,2021-10-19 22:48:32,44.2236,12.0528,58.64,58,53,4.45
